,date,men_gold,men_silver,men_bronze,total_gold,total_silver,total_bronze,women_gold,women_silver,women_bronze,total_medals,men_total,women_total,Fencing,Judo,Skateboarding,Swimming,country,Canoe Slalom,Cycling Road,Cycling Mountain Bike,Diving,Rugby Sevens,Archery,Shooting,Artistic Gymnastics,Equestrian,Table Tennis,Cycling BMX Freestyle,Triathlon,Rowing,Athletics,Badminton,Tennis,Trampoline Gymnastics,Cycling BMX Racing,Sailing,Boxing,Golf,3x3 Basketball,Surfing,Cycling Track,Wrestling,Artistic Swimming,Weightlifting,Sport Climbing,Taekwondo,Canoe Sprint,Marathon Swimming,Hockey,Football,Volleyball,Breaking,Rhythmic Gymnastics,Beach Volleyball
80,2024-07-30,1,0,0,1,0,0,0,0,0,3,3,0,,,,,New Zealand,,,,,"(1, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2024-07-30,1,0,0,1,0,0,0,0,0,3,3,0,,,,"(1, 0, 0)",Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2024-07-30,1,0,0,1,0,0,0,0,0,3,3,0,,"(1, 0, 0)",,,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,2024-07-30,1,0,0,1,0,0,0,0,0,3,3,0,,,,,Serbia,,,,,,,"(1, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,2024-07-30,1,0,0,1,0,0,0,0,0,3,3,0,,"(1, 0, 0)",,,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,2024-07-30,0,1,0,0,1,3,0,0,3,12,3,9,,"(0, 1, 1)","(0, 0, 1)",,Brazil,,,,,,,,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,2024-07-30,0,1,0,0,1,2,0,0,2,9,3,6,,"(0, 0, 1)",,,Sweden,,,"(0, 0, 1)",,,,"(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,2024-07-30,0,1,1,0,1,1,0,0,0,6,6,0,,"(0, 1, 1)",,,Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,2024-07-30,0,1,1,0,1,1,0,0,0,6,6,0,,"(0, 1, 0)",,,Mexico,,,,,,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,2024-07-30,0,1,1,0,1,1,0,0,0,6,6,0,"(0, 0, 1)",,,,Poland,"(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,2024-07-30,0,0,1,0,1,0,0,1,1,3,3,6,,,,,Türkiye,,,,,,"(0, 0, 1)","(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,2024-07-30,0,1,0,0,1,0,0,0,0,3,3,0,,,,,Fiji,,,,,"(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,2024-07-30,0,1,0,0,1,0,0,0,0,3,3,0,,"(0, 1, 0)",,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,2024-07-30,0,1,0,0,1,0,0,0,0,3,3,0,,"(0, 1, 0)",,,Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,2024-07-30,0,1,0,0,1,0,0,0,0,3,3,0,,,,,DPR Korea,,,,,,,,,,"(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,
95,2024-07-30,0,1,0,0,1,0,0,0,0,3,3,0,"(0, 1, 0)",,,,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,2024-07-30,0,0,1,0,0,2,0,0,1,6,3,3,,,,,India,,,,,,,"(0, 0, 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,2024-07-30,0,0,2,0,0,2,0,0,0,6,6,0,,"(0, 0, 2)",,,Republic of Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
